NUMBER,NAME,RATING,STARTER
13-PP-218,REGRIND AREA GSW BOOSTER PUMP 2,5.5,DOL
14-PP-176,TAILS PUMPING GSW BOOSTER PUMP 2,7.5,DOL
13-PP-05,,15,DOL
12-EQ-010,EQUIPPED SPARE,22,DOL
13-PP-152,,45,DOL
13-TH-001,FLOAT TAILS THICKNER,11,DOL
13-PP-192,RAW WATER BOOST PUMP,45,DOL
13-PP-102,CIL SO2 DOZING PUMP DUTY,1.5,VSD
16-PP-121,TAILINGS FLOC AREA SUMP PUMP,7.5,DOL
17-PP-181,HAET EACH WATER PUMP 2,50,DOL
16-PP-189,CONC THICK FLOC PUMP STANDBY,3,VSD
16-PP-123,CONC THICK FLOC PUMP DUTY,3,VSD
16-PP-188,TAIL THICK FLOC PUMP STANDBY,5.5,VSD
16-PP-147,TAIL THICK FLOC PUMP DUTY,5.5,VSD
12-PP-87,COMPRESSOR PUMP,5.5,DOL
12-EQ-027,EQUIPPED SPARE,55,DOL
12-PP-809,BALL MILL 1 CONDUCTING LP PUMP 1,2.2,DOL
12-PP-810,BALL MILL 1 CONDUCTING LP PUMP 2,2.2,DOL
12-PP-814,BALL MILL GEARBOX OIL LP PUMP 2,11,DOL
12-HX-819,BALL MILL GEARBOX TANK HEATER ELEMENT 1,3,DOL
12-HX-820,BALL MILL GEARBOX TANK HEATER ELEMENT 2,3,DOL
12-FA-800,BALL MILL 1 WOLING FAN 1,7.5,DOL
12-FA-801,BALL MILL 1 WOLING FAN 2,1.5,DOL
12-FA-802,BALL MILL 1 WOLING FAN 3,9,DOL
12-FA-802,BALL MILL 1 WOLING FAN 4,9,DOL
12-FA-804,BALL MILL 1 AIRBLAST COOLER MOTOR,4,DOL
12-PP-811,BALL MILL 1 FE HEARING LP OIL PUMP,1.1,DOL
13-PP-090,REGRIND MILL DISCHARGE PUMP 1,55,VSD
13-PP-091,REGRIND MILL DISCHARGE PUMP 2,55,VSD
13-PP-707,PROCESS WATER DRAIN PUMP,22,DOL
12-HX-821,BALL MILL GEARBOX TANK HEATER ELEMENT,3,DOL
12-PP-359,ILR TAILINGS SOLUTION TRANSFER PUMP,4.5,DOL
12-PP-355,ILR TAILINGS SOLUTION TRANSFER PUMP,4.5,DOL
06-PP-707,ILR TAILINGS SOLUTION TRANSFER PUMP,4.5,DOL
16-PP-100,PROMOTER DRUM PUMP FLAST FLOATATION,1.1,DOL
11-PP-513,CV02 TAIL END SUMP PUMP,5,DOL
13-PP-701,REGRING MILL SUMP PUMP,11,DOL
16-PP-095,FRONTHER DOZING PUMP 1 FLASH FLOATATION,1.5,VSD
16-PP-92,PROMOTER DOZING PUMP 1 FLASH FLOATATION,1.5,VSD
16-PP-087,FLASH FLOAT REAGENT AREA SUMP PUMP,7.5,DOL
12-PP-356,IRL 1000 SUMP PUMP,11,DOL
12-PP-358,IRL TAILINGS WASH TRANSFER  PUMP,4.5,DOL
12-PP-502,KNELSON WATER FEED PUMP 1,75,DOL
12-PP-504,KNELSON WATER FEED PUMP 2,75,DOL
12-PP-512,GRAVITY AREA SUMP PUMP ,15,DOL
12-EQ-022,EQUIPPED SPARE,5.5,DOL
12-EQ-028,EQUIPPED SPARE,75,DOL
12-PP-714,SAG MILL 1 GEARBOX OIL LP PUMP 2,11,DOL
12-HX-717,SAG MILL 1 GEARBOX TANK HEATER ELEMENT 1,30,DOL
12-HX-713,SAG MILL 1 GEARBOX TANK HEATER ELEMENT 2,30,DOL
12-HX-719,SAG MILL 1 GEARBOX TANK HEATER ELEMENT 3,30,DOL
12-FA-704,SAQG MILL 1 AIRBLAST COOLER MOTOR,4,DOL
12-PP-711,SAG MILL 1 FE BEARING LP OIL PUMP 1,1.1,DOL
12-PP-712,SAG MILL 1 FE BEARING LP OIL PUMP 2,1.1,DOL
12-HX-723,SAG MILL 1 TRINION TANK HEATER ELEMENT 1,3,DOL
12-HX-724,SAG MILL 1 TRINION TANK HEATER ELEMENT 2,3,DOL
12-PP-713,SAG MILL 1 GEARBOX OIL LP PUMP 1,11,DOL
12-FA-706,SAG MILL 1 COOLING FAN 1,7.5,DOL
12-FA-702,SAG MILL 1 COOLING FAN 2,9,DOL
12-PP-709,,22,DOL
12-SA-002B,FLASH FLOATATION CONCENTRATE SUMP,0.4,DOL
13-XM-7,HYDROLIC PACK REGRIND LUBE PUMP,7.5,DOL
16-PP-084,FRONTER DRUM PUMP FLASH FLOATATION,1.1,DOL
12-HT-014,PRIMARY CYCLONE DAINT CRANE,3,DOL
16-PP-124,IILR COPPER SULPHATE DOZIING PUMP ,1.5,VSD
16-PP-088,COLLECTOR DOZING PUMP,1.1,VSD
12-SC-511,ILR TRADINGS WASH SCREEN,3,DOL
06-SC-301,ILR TRADINGS WASH SCREEN,3,DOL
12-EQ-019,EQUIPPED SPARE,30,DOL
13-HE-001,REGRIND MILL MOTOR SPACE HEATER,0.3,DOL
17-CP-026,FLASH FLOATTATION AIR BLOWER 1,4,DOL
12-EQ-017,EQUIPPED SPARE,15,DOL
12-EQ-018,EQUIPPED SPARE,15,DOL
12-CP-001,,7.5,DOL
12-EQ-20,EQUIPPED SPARE,55,DOL
12-PP-357,ILR TAILS TRANSFER PUMP,15,DOL
12-PP-513,ILR RECIRCULATION PUMP,15,DOL
16-PP-093,PROMOTER DOZING PUMP 2 FLASH FLOATATION,1.5,DOL
16-PP-096,FRONTHER DOZING PUMP 2 FLASH FLOATATION,1.5,DOL
17-CP-027,FLASH FLOATATION AIR BLOWER 2,4,DOL
12-EQ-015,EQUIPPED SPARE,5.5,DOL
12-XM-050,SAG MILL 1 BALL LOADER,0.3,DOL
11-FE-005,VIBRATING FEEDER N.5,5,VSD
11-FE-003,VIBRATING FEEDER N.3,5,VSD
12-FT-002,FLASH CELL 1,7.5,DOL
12-GC-002,KNELSON CONCENTRATOR ,75,DOL
12-ML-001A,SAG MILL INCHING DRIVE,45,DOL
16-HT-012,COLLECTOR MIXING HOIST,3,DOL
16-AG-053,COLLECTOR MIXING TANK AGITATOR,3,DOL
16-PP-89,COLLECTOR DOZING PUMP 2,1.5,VSD
12-SC-510,SCALPING SCREEN 1,9,DOL
12-PP-710,SQAG MILL 7 CONDUCTING LP PUMP 2,2.2,DOL
12-HX-817,BALL MILL 1 TRINION TANK ELEMENT 1,3,DOL
12-HX-813,BALL MILL 1 TRINION TANK ELEMENT 2,3,DOL
12-PP-813,BALL MILL 1 GEARBOX 04 LP PUMP 1,11,DOL
11-FE-004,VIBRATING FEEDER,11,VSD
12-EQ-025,EQUIPPED SPARE,15,DOL
13-XM-008,REGRIND MILL REDUCER LUBE SYSTEM FAN,7.5,DOL
13-FT-003,FLASH CELL 3,75,DOL
12-EQ-24,EQUIPPED SPARE,15,DOL
12-FT-001,FLASH CELL 1,75,DOL
12-ML-002A,BALL MILLO 1 INCHING DRIVE,45,DOL
13-PP-005,FLOAT TAILS THICKNER AREA SUMP PUMP,,
13-GC-003,KNELSON CONCENTRATOR # 3,75,DOL
12-GC-001,KNELSON CONCENTRATOR # 1,75,DOL
12-EQ-023,EQUIPPED SPARE,5.5,DOL
12-EQ-026,EQUIPPED SPARE,30,DOL
12-HE-002,REGRIND MILL REDUCER LUBE HEATER,23,DOL
12-SA-002,FLASH FLOATATION CONCENTRATE SAMPLER,0.4,DOL
12-PP-812,BALL MILL 1 FE BEARING LP OIL PUMP,1.1,DOL
16-PP-116,COLLECTER MIXING TRANSFER PUMP,1.1,DOL
14-EQ-007,EQUIPPED SPARE,18.5,DOL
20-FO-001,,7.5,DOL
14-EQ-004,EQUIPPED SPARE,5.5,DOL
14-EQ-003,EQUIPPED SPARE,5.5,DOL
14-EQ-002,EQUIPPED SPARE,5.5,DOL
14-EQ-001,EQUIPPED SPARE,5.5,DOL
16-PP-81A,COUSTIC DOSING PUMP 1 ,3,VSD
16-PP-81B,COUSTIC DOSING PUMP 2 ,3,VSD
15-PP-010,CARBON TRANSFER PUMP 1,22,DOL
15-PP-XXX,REGENERATION AREA SUMP PUMP,7.5,DOL
20-PP-008,REFINERY AREA SUMP PUMP,7.5,DOL
20-PP-004,ILR PREGNANT SOL PUMP NO. 2,5.5,VSD
20-PP-003,ILR PREGNANT SOL PUMP NO. 1,5.5,VSD
20-PP-002,PREGNANT ELUATE PUMP NO. 2,11,VSD
20-PP-001,PREGNANT ELUATE PUMP NO. 1,11,VSD
20-FAN-001,ELECTROWINNING CELLS AND DRYING OVERFAN,3,DOL
20-FL-001,GOLDROOM FILTER PRES,0.37,DOL
15-SC-002,CARBON RECOVERY SCREEN 1,0.37,DOL
15-SC-003,CARBON RECOVERY SCREEN 2,0.37,DOL
23-AG-046,NEUT. TANK 46 AGITATOR,22,DOL
23-AG-045,NEUT. TANK 45 AGITATOR,22,DOL
23-AG-044,NEUT. TANK 44 AGITATOR,22,DOL
23-AG-043,NEUT. TANK 43 AGITATOR,22,DOL
23-AG-042,NEUT. TANK 42 AGITATOR,22,DOL
23-AG-041,NEUT. TANK 41 AGITATOR,22,DOL
16-AG-040,CAUSTIC MIXNG AGITATOR,18.5,DOL
15-PP-266A,HOT OIL PUMP 1,1.1,DOL
15-PP-266B,HOT OIL PUMP 2,1.1,DOL
14-PP-020A,NEUTRALIZATION TAILS PUMP,160,VSD
20-HT-002,REFINERY HOIST,30,DOL
14-EQ-12,EQUIPPED SPARE,55,DOL
20-FA-03,REFINERY VENT FAN,7.5,DOL
20-PP-011,BARREN SOIL INTER TRANSFER PUMP,1.1,DOL
20-PP-007,TANK FARM SPILLAGE TANK,11,DOL
14-PP-02D,NEUTRALIZATION TAILS PUMP 2,160,VSD
15-FE-002,KILN SCREEW FEEDER NO.2,5.5,DOL
15-FE-001,KILN SCREEW FEEDER NO.1,5.5,DOL
15-FA-XXX,KILN 2 SCRUBBER FAN,7.5,DOL
15-FA-12,KILN 1 SCRUBBER FAN,7.5,DOL
16-AG-063,CAUSTIC MIXNG TANK AGITATOR,18.5,DOL
15-SC-004,BARREN CARBON DEW SCREEN 2,5.5,DOL
15-XM-002,KILN EXHAUST STACK ,1,DOL
15-SC-001,BARREN CARBON DEW SCREEN,5.5,DOL
13-PP-021,FLOAT THICKNER TAILS PUMP 2,220,VSD
20-PP-012,BARREN SOIL INTER TRANSFER PUMP 2,15,VSD
13-PP-022,FLOAT THICKNER TAILS PUMP 2,220,VSD
20-FA-002,FURNACE AND FLUX MIXING EXHAUST FAN,30.5,DOL
13-PP-003,PREGNANT ELUATE PUMP NO. 1,5.5,DOL
15-PP-075B,STRIP SOLUTIONS PUMP 2,22,VSD
16-PP-042,CAUSTIC SPILLAGE PUMP,3,DOL
16-PP-074,CAUSTIC DOSING PUMP 5,3,DOL
15-PP-010,CARBON TRANSFER PUMP NO. 1,22,DOL
15-PP-008,BARREN SOLUTION PUMP 2,5.5,DOL
15-PP-007,BARREN SOLUTION PUMP 1,5.5,DOL
15-PP-004,ILR PREGNANT SOLUTION PUMP,3,DOL
15-PP-015,REGENERATION AREA SUMP PUMP,7.5,DOL
19-PP-019,CIL ACID AREA SUMP PUMP 2,5.5,DOL
15-PP-012,DESCRIPTION AREA SUMP PUMP,7.5,DOL
16-PP-073,CAUSTIC DOZING PUMP 4,3,DOL
23-PP-021A,NEUTRALIZATION TAILS PUMP 2,315,VSD
20-PP-601,BARREN TANK AREA SPILLAGE PUMP,7.5,DOL
