NUMBER,NAME,RATING,STARTER
23-AG-032,REACTOR TANK 32 AGITATOR,225,DOL
23-AG-033,REACTOR TANK 33 AGITATOR,225,DOL
23-EQ-026,EQUIPPED SPARE,75,DOL
23-PP-350,,18.5,DOL
23-PP-262,COOLING WATER SUPPLY PUMP,315,DOL
23-PP-206,COOLING WATER SUPPLY PUMP,315,DOL
23-PP-035,REACTOR TANK 55 AGITATOR,225,DOL
23-AG-034,REACTOR TANK AGITATOR,225,DOL
23-AG-036,REACTOR TANK AGITATOR,132,DOL
23-EQ-024,EQUIPPED SPARE,45,DOL
,,,
,,,
,,,
23-SA-003,TANK 131 FEED SAMPLER,0.6,DOL
23-AG-143,REACTOR TANK 143 AGITATOR,225,DOL
23-PP-055,CCD # 6 OVERFLOW PUMP,37,VSD
23-PP-266,CCD UNDERFLOW PUMP,37,VSD
23-PP-275,TRAIN 4 AREA SUMP PUMP,15,DOL
23-PP-280,TRAIN 4 AREA SUMP PUMP 1,15,DOL
23-PP-286,TRAIN 4 NUTRIENTS DOZING PUMP,1.5,VSD
23-PP-309,CONS. SURGE TANK TRANS. PUMP 1,30,DOL
23-AG-145,REACTOR TANG 145 AGITATOR,132,DOL
23-SC-053,TRASH SCREEN,1.8,DOL
23-PP-281,REACTOR AREA SUMP PUMP TR 2,15,DOL
23-PP-162,REACTOR AREA SUMP PUMP TR 2,15,DOL
23-AG-146,REACTOR TANK 146 AGITATOR,132,DOL
23-AG-131,SURGE TANK 131 AGITATOR,45,DOL
23-AG-147,REACTOR TANK 147 AGITATOR,132,DOL
23-PP-229,TRAIN 3 NUTRIENT DOZING PUMP,15,VSD
23-EQ-022,SULPHIDE ACID PUMP,22,DOL
,,,
,,,
,,,
23-PP-061,CCD OVERFLOW PUMP,75,VSD
23-PP-040,TRAIN 3 REACTOR AREA SUMP PUMP,15,DOL
23-PP-163,TRAIN REACTOR AREA SUMP PUMP,15,DOL
23-PP-053,CCD # 4 UNDERFLOW PUMP,15,VSD
23-PP-268,CCD # 4 UNDERFLOW PUMP,15,VSD
16-EQ-003,EQUIPPED SPARE,11,DOL
23-PP-197,NEAT AREA EXT SUMP PUMP,22,DOL
16-EQ-001,FILTER METER,5.5,DOL
16-EQ-002,SILO VIBRATOR (SHED),5.5,DOL
,,,
16-PP-198,LIME SLURRY TO NEW OIL PUMP,22,DOL
16-PP-133,LIMESTONE MILL DISGHARGE  PUMP,22,VSD
16-PP-131,LIME TRANSFER PUMP 2 TO SURGE,30,
16-EE-06,LIME FEEDEER,4,VSD
16-FE-02,LIME SCREEW FEEDER,3,VSD
16-PP-132,LIME TRANSFER PUMP 2 TO SURGE,30,VSD
16-PP-134,LIMESTONE MILL DISCHARGE PUMP ,22,VSD
