,NUMBER,NAME,RATING,STARTER,FUNCTION,AREA
318,16-PP-230,NASH AND FRONTHER SUMP PUMP,5.5,DOL,PUMP,REAGENTS
319,12-FA-17,BALL MILL SLIP RING AIR FAN,11.0,DOL,FAN,CRUSHER/MILLING
320,12-PP-252,BALL MILL GEAR BOX LUBE PUMP,7.0,DOL,PUMP,CRUSHER/MILLING
321,23-PP-38,REACTOR AREA SUMP PUMP TRAIN,11.0,DOL,PUMP,BIOX
322,13-PP-314,CLEANER CONCENTRATE RECIRCULATION PUMP,11.0,DOL,PUMP,BIOX
323,13-PP-313,CLEANER CONCENTRATE RECIRCULATION PUMP,11.0,DOL,PUMP,BIOX
324,16-PP-65,DEPRESSANT TRANSFER PUMP,15.0,DOL,PUMP,REAGENTS
325,05-PP-517,ELUATE TANK,22.0,DOL,PUMP,ELUTION/GOLDROOM
326,05-PP-518,ELUATE TANK,5.5,DOL,PUMP,ELUTION/GOLDROOM
327,05-PP-519,ELUATE TANK,5.5,DOL,PUMP,ELUTION/GOLDROOM
328,05-SP-35,SUMP PUMP,4.5,DOL,OTHER,ELUTION/GOLDROOM
329,13-PP-241,SPARGE WATER BOOSTER PUMP,1.1,DOL,PUMP,BIOX
330,05-PP-208,ELUATE TANK,22.0,DOL,PUMP,ELUTION/GOLDROOM
331,05-PP-209,ELUATE TANK,7.5,DOL,PUMP,ELUTION/GOLDROOM
332,05-PP-210,ELUATE TANK,5.5,DOL,PUMP,ELUTION/GOLDROOM
333,05-PP-283,ELUATE TANK,22.0,DOL,PUMP,ELUTION/GOLDROOM
334,05-PP-282,ELUATE TANK,7.5,DOL,PUMP,ELUTION/GOLDROOM
335,05-PP-310,ELUATE TANK,7.5,DOL,PUMP,ELUTION/GOLDROOM
336,05-PP-520,ELUATE TANK,7.5,DOL,PUMP,ELUTION/GOLDROOM
337,05-PP-521,ELUATE TANK,7.5,DOL,PUMP,ELUTION/GOLDROOM
338,16-PP-93,PROMOTER TRANSFER PUMP,0.18,DOL,PUMP,REAGENTS
339,16-19-117,COPPER SULPHATER TRANSFER PUMP,0.25,DOL,OTHER,REAGENTS
340,16-FA-05,NASH VENTILATION FAN,0.75,DOL,FAN,REAGENTS
341,16-AG-105,NASH MIXING TANK AGITATOR,22.0,DOL,AGITATOR,REAGENTS
342,16-PP-84,DEPRESSANT TRANSFER PUMP,1.5,DOL,PUMP,REAGENTS
343,23-CP-03,BIOX AIR BLOWER,1100.0,AT,BLOWERS,BIOX
344,23-CP-04,BIOX AIR BLOWER,1100.0,AT,BLOWERS,BIOX
345,23-CP-05,BIOX AIR BLOWER,1100.0,AT,BLOWERS,BIOX
346,23-CP-06,BIOX AIR BLOWER,1100.0,AT,BLOWERS,BIOX
347,23-CP-07,BIOX AIR BLOWER,1100.0,AT,BLOWERS,BIOX
348,18-PP-03,ROUGHER 1 CONCENTRATE PUMP,37.0,VSD,PUMP,FLOATATION
349,18-PP-04,ROUGHER 2/3 CONCENTRATE PUMP,15.0,VSD,PUMP,FLOATATION
350,18-PP-05,SCAVENGER CONCENTRATE PUMP,55.0,VSD,PUMP,FLOATATION
351,18-PP-01,FLOATATION FEED PUMP 1,160.0,VSD,PUMP,FLOATATION
352,18-SC-01A1B,FLOATATION FEED TRASH SCREEN 1,7.4,DOL,SCREEN,FLOATATION
353,18-SC-02A1B,FLOATATION FEED TRASH SCREEN 2,7.4,DOL,SCREEN,FLOATATION
354,18-PP-02,FLOATATION FEED PUMP 2,160.0,VSD,PUMP,FLOATATION
355,18-PP-06,SCAVANGER TAILS PUMP 1,110.0,VSD,PUMP,FLOATATION
356,18-PP-07,SCAVENGER TAILS PUMP 2,110.0,VSD,PUMP,FLOATATION
357,18-PP-08,CLEANER CONCENTRATE PUMP,30.0,VSD,PUMP,FLOATATION
358,18-PP-09,SCAVANGER CLEANER CONCENTRATE PUMP ,30.0,VSD,PUMP,FLOATATION
359,18-PP-10,SCAVENGER CLEANER TAILS PUMP 1,45.0,VSD,PUMP,FLOATATION
360,18-PP-11,SCAVENGER CLEANER TAILS PUMP 2,45.0,VSD,PUMP,FLOATATION
363,18-BL-01,FLOATATION AIR BLOWER 1,75.0,DOL,OTHER,FLOATATION
364,18-PP-12,FLOATATION AREA SUMP PUMPS ,11.0,DOL,PUMP,FLOATATION
365,18-PP-14,FLOATATION TAILS AREA SUMP PUMP,11.0,DOL,PUMP,FLOATATION
366,18-BL-02,FLOTATION AREA AIR BLOWER 2,75.0,DOL,OTHER,FLOATATION
367,18-AG-10,CLEANER CELL 1 AGITATOR,55.0,DOL,AGITATOR,FLOATATION
368,18-AG-11,CLEANER CELL 2 AGITATOR,55.0,DOL,AGITATOR,FLOATATION
369,18-AG-12,SCAVENGER CLEANER CELL 1 AGITATOR,55.0,DOL,AGITATOR,FLOATATION
370,18-AG-14,SCAVENGER CLEANER CELL 3 AGITATOR,55.0,DOL,AGITATOR,FLOATATION
371,18-AG-15,SCAVENGER CLEANER CELL 4 AGITATOR,55.0,DOL,AGITATOR,FLOATATION
372,18-PP-01,COLLECTOR DOZING PUMP 1,1.5,DOL,PUMP,FLOATATION
373,18-PP-02,COLLECTOR DOZING PUMP 2,1.5,DOL,PUMP,FLOATATION
374,18-PP-03,COLLECTOR DOZING PUMP 3,1.5,DOL,PUMP,FLOATATION
375,18-PP-04,COLLECTOR DOZING PUMP 4,1.5,DOL,PUMP,FLOATATION
377,27-PP-801,C15 FEED PUMMP 2,90.0,DOL,PUMP,WTP
378,28-PP-484,TAILINGS STAGE 2 GLAND SEAL WATER PUMP 1,30.0,DOL,PUMP,BACKFILL
379,28-PP-483,TAILINGS STAGE 1 GLAND SEAL WATER PUMP 2,18.5,DOL,PUMP,BACKFILL
380,28-PP-268,PASTE PLANT SUMP PUMP 1,22.0,DOL,PUMP,BACKFILL
381,28-EQ-010,EQUIPPED SPARE,90.0,DOL,EQUIPED SPARE,BACKFILL
382,28-EQ-08,EQUIPPED SPARE,55.0,DOL,EQUIPED SPARE,BACKFILL
383,17-PP-184,POND 2 TRANSFER PUMP 2,132.0,DOL,PUMP,TSF
384,28-EQ-02,EQUIPPED SPARE,5.0,DOL,EQUIPED SPARE,BACKFILL
385,17-PP-183,POND 2 TRANSFER PUMP 1,132.0,DOL,PUMP,TSF
386,27-PP-800,CIS FEED PUMP 1,110.0,DOL,PUMP,WTP
387,27-PP-848,CIS FEED PUMP 3,110.0,DOL,PUMP,WTP
388,28-PP-499,PASTE PLANT TRANSFER PUMP B ST 2,110.0,DOL,PUMP,BACKFILL
389,28-PP-450,PASTE PLANT TRANSFER PUMP B ST 3,110.0,DOL,PUMP,BACKFILL
390,28-PP-448,PASTE PLANT TRANSFER PUMP B ST 1,110.0,DOL,PUMP,BACKFILL
391,28-PP-447,PASTE PLANT TRANSFER PUMP A ST 3,132.0,VSD,PUMP,BACKFILL
392,28-PP-411,BIOX CIL TAIL THICK ULF PUMP 2,160.0,VSD,PUMP,BACKFILL
393,28-PP-415,FLOAT TAILS PUMP 2 STAGE 2,132.0,VSD,PUMP,BACKFILL
394,28-PP-482,TAILS UNGS STAGE 1 GLAND SEAL WATER PUMP,18.5,DOL,PUMP,BACKFILL
395,28-EQ-09,EQUIPPED SPARE,45.0,DOL,EQUIPED SPARE,BACKFILL
396,28-PP-413,FLOAT TAILS PUMP 2 STAGE 1,110.0,DOL,PUMP,BACKFILL
397,28-PP-009,EQUIPPED SPARE,75.0,DOL,PUMP,BACKFILL
398,28-PP-411,BIOX CIL TAILINGS PUMP 1 STAGE 3,22.0,VSD,PUMP,BACKFILL
399,28-PP-412,FLOAT TAILS PUMP 1 STAGE 1,110.0,DOL,PUMP,BACKFILL
401,28-PP-418,BIOX CIL TAILINGS PUMP 1 STAGE 2,22.0,DOL,PUMP,BACKFILL
402,28-PP-428,BIOX TAILS SUMP PUMP 1,22.0,DOL,PUMP,BACKFILL
403,28-PP-414,FLOAT TAILS PUMP 1 STAGE 2,132.0,VSD,PUMP,BACKFILL
404,28-HYD-001,VALUE HYDROLIC PACK 1,132.0,DOL,OTHER,BACKFILL
405,28-HYD-002,VALUE HYDROLIC PACK 2,132.0,DOL,OTHER,BACKFILL
406,28-TP-846,BIOX TAILING SEEPAGE PUMP 1,132.0,DOL,OTHER,BACKFILL
407,28-TH-401,BIOX CIL TAILINGS THICKENER,132.0,DOL,THICKENER,BACKFILL
408,28-PP-422,BIOX CIL TAIL PUMP 1 ST 4,22.0,DOL,PUMP,BACKFILL
410,28-PP-445,PASTE TRANSFER PLANT TRF PUMP ST 1,110.0,DOL,PUMP,BACKFILL
411,28-PP-446,PASTE PLANT TRANSFER PUMP ST 2,110.0,DOL,PUMP,BACKFILL
413,28-PP-421,BIOX CIL TAIL PUMP ST 3,22.0,VSD,PUMP,BACKFILL
414,28-AG-405,PASTE PLANT STORAGE TANK AGITATOR,75.0,DOL,AGITATOR,BACKFILL
415,28-AG-402,PASTE PLANT TO TANK ONE AGITATOR,7.5,DOL,AGITATOR,BACKFILL
416,28-AG-408,AGITATOR,5.5,DOL,AGITATOR,BACKFILL
417,28-PP-438,SUMP PUMP,3.0,DOL,PUMP,BACKFILL
418,28-PP-436,FLOCCULANT DOZING PUMP 1,3.0,VSD,PUMP,BACKFILL
419,28-PP-408,PAST PLANT STORAGE TANK 2 REC PUMP,45.0,DOL,PUMP,BACKFILL
420,28-PP-265,PORT WATER PUMP 3,11.0,DOL,PUMP,BACKFILL
421,28-PP-407,PASTE PLANT TANK 1 REC PUMP,45.0,DOL,PUMP,BACKFILL
422,28-PP-410,BIOX CIL TAIL THICK ULF PUMP 1,160.0,VSD,PUMP,BACKFILL
423,28-PP-38,PORT WATER PUMP 1,11.0,DOL,PUMP,BACKFILL
424,28-PP-39,PORT WATER PUMP 2,11.0,DOL,PUMP,BACKFILL
425,28-PP-402,PASTE PLANT STORAGE TANK 1 AGITATOR,775.0,DOL,PUMP,BACKFILL
426,12-EQ-011,EQUIPPED SPARE,55.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
427,11-CV-002,CV 02 CONVEYOR,30.0,DOL,OTHER,CRUSHER/MILLING
428,14-PP-175,TAILS PUMP GCW BOOSTER PUMP 1,7.5,DOL,PUMP,BACKFILL
429,12-PP-005,MILL FEED END SUMP PUMP,22.0,DOL,PUMP,CRUSHER/MILLING
430,12-PP-003,MILL AREA SUMP PUMP,22.0,DOL,PUMP,CRUSHER/MILLING
431,12-TH-003,EQUIPPED SPARE,7.5,DOL,THICKENER,CRUSHER/MILLING
432,17-PP-180,HEAT EXCH. WATER PUMP,50.0,DOL,PUMP,TSF
433,17-PP-142,RAW WATER PUMP,132.0,DOL,PUMP,TSF
434,13-PP-145,PROCESS WATER TANK PUMP,150.0,DOL,PUMP,BIOX
435,12-EQ-007,EQUIPPED SPARE,55.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
436,17-PP-141,RAW WATER PUMP 1,132.0,DOL,PUMP,TSF
437,13-PP-146,PROCESS WATER TANK PUMP,150.0,DOL,PUMP,BIOX
438,13-PP-16,FLOAT TAILS THICK ULF PUMP,110.0,DOL,PUMP,BIOX
439,13-PP-026,CONC. THICK UPLOW PUMP 1,55.0,VSD,PUMP,BIOX
440,13-PP-15,FLOAT TAILS THICK ULF PUMP,110.0,VSD,PUMP,BIOX
441,13-PP-117,COPPER SULPHATE DOZING PUMP PUMP,1.5,VSD,PUMP,BIOX
442,16-AG-060,CONC. MIXING TANK AGITATOR,2.2,DOL,AGITATOR,REAGENTS
443,13-PP-025,CONC. THICKNER SUMP PUMP,5.5,DOL,PUMP,BIOX
444,17-PP-071,SUMP PUMP COMPRESSOR AREA,11.0,DOL,PUMP,TSF
445,12-PP-004,MILL AREA SUMP PUMP,22.0,DOL,PUMP,CRUSHER/MILLING
446,12-EQ-014,EQUIPPED SPARE,75.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
447,13-PP-217,REGRIND AREA GSW BOOSTER PUMP 1,5.5,DOL,PUMP,BIOX
448,13-PP-218,REGRIND AREA GSW BOOSTER PUMP 2,5.5,DOL,PUMP,BIOX
449,14-PP-176,TAILS PUMPING GSW BOOSTER PUMP 2,7.5,DOL,PUMP,BACKFILL
451,12-EQ-010,EQUIPPED SPARE,22.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
453,13-TH-001,FLOAT TAILS THICKNER,11.0,DOL,THICKENER,BIOX
454,13-PP-192,RAW WATER BOOST PUMP,45.0,DOL,PUMP,BIOX
455,13-PP-102,CIL SO2 DOZING PUMP DUTY,1.5,VSD,PUMP,BIOX
456,16-PP-121,TAILINGS FLOC AREA SUMP PUMP,7.5,DOL,PUMP,REAGENTS
457,17-PP-181,HAET EACH WATER PUMP 2,50.0,DOL,PUMP,TSF
458,16-PP-189,CONC THICK FLOC PUMP STANDBY,3.0,VSD,PUMP,REAGENTS
459,16-PP-123,CONC THICK FLOC PUMP DUTY,3.0,VSD,PUMP,REAGENTS
460,16-PP-188,TAIL THICK FLOC PUMP STANDBY,5.5,VSD,PUMP,REAGENTS
461,16-PP-147,TAIL THICK FLOC PUMP DUTY,5.5,VSD,PUMP,REAGENTS
462,12-PP-87,COMPRESSOR PUMP,5.5,DOL,PUMP,CRUSHER/MILLING
463,12-EQ-027,EQUIPPED SPARE,55.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
464,12-PP-809,BALL MILL 1 CONDUCTING LP PUMP 1,2.2,DOL,PUMP,CRUSHER/MILLING
465,12-PP-810,BALL MILL 1 CONDUCTING LP PUMP 2,2.2,DOL,PUMP,CRUSHER/MILLING
466,12-PP-814,BALL MILL GEARBOX OIL LP PUMP 2,11.0,DOL,PUMP,CRUSHER/MILLING
467,12-HX-819,BALL MILL GEARBOX TANK HEATER ELEMENT 1,3.0,DOL,HEATER,CRUSHER/MILLING
468,12-HX-820,BALL MILL GEARBOX TANK HEATER ELEMENT 2,3.0,DOL,HEATER,CRUSHER/MILLING
469,12-FA-800,BALL MILL 1 WOLING FAN 1,7.5,DOL,FAN,CRUSHER/MILLING
470,12-FA-801,BALL MILL 1 WOLING FAN 2,1.5,DOL,FAN,CRUSHER/MILLING
471,12-FA-802,BALL MILL 1 WOLING FAN 3,9.0,DOL,FAN,CRUSHER/MILLING
472,12-FA-802,BALL MILL 1 WOLING FAN 4,9.0,DOL,FAN,CRUSHER/MILLING
473,12-FA-804,BALL MILL 1 AIRBLAST COOLER MOTOR,4.0,DOL,FAN,CRUSHER/MILLING
474,12-PP-811,BALL MILL 1 FE HEARING LP OIL PUMP,1.1,DOL,PUMP,CRUSHER/MILLING
475,13-PP-090,REGRIND MILL DISCHARGE PUMP 1,55.0,VSD,PUMP,BIOX
476,13-PP-091,REGRIND MILL DISCHARGE PUMP 2,55.0,VSD,PUMP,BIOX
477,13-PP-707,PROCESS WATER DRAIN PUMP,22.0,DOL,PUMP,BIOX
478,12-HX-821,BALL MILL GEARBOX TANK HEATER ELEMENT,3.0,DOL,HEATER,CRUSHER/MILLING
479,12-PP-359,ILR TAILINGS SOLUTION TRANSFER PUMP,4.5,DOL,PUMP,CRUSHER/MILLING
480,12-PP-355,ILR TAILINGS SOLUTION TRANSFER PUMP,4.5,DOL,PUMP,CRUSHER/MILLING
481,06-PP-707,ILR TAILINGS SOLUTION TRANSFER PUMP,4.5,DOL,PUMP,BACKFILL
482,16-PP-100,PROMOTER DRUM PUMP FLAST FLOATATION,1.1,DOL,PUMP,REAGENTS
483,11-PP-513,CV02 TAIL END SUMP PUMP,5.0,DOL,PUMP,CRUSHER/MILLING
484,13-PP-701,REGRING MILL SUMP PUMP,11.0,DOL,PUMP,BIOX
485,16-PP-095,FRONTHER DOZING PUMP 1 FLASH FLOATATION,1.5,VSD,PUMP,REAGENTS
486,16-PP-92,PROMOTER DOZING PUMP 1 FLASH FLOATATION,1.5,VSD,PUMP,REAGENTS
487,16-PP-087,FLASH FLOAT REAGENT AREA SUMP PUMP,7.5,DOL,PUMP,REAGENTS
488,12-PP-356,IRL 1000 SUMP PUMP,11.0,DOL,PUMP,CRUSHER/MILLING
489,12-PP-358,IRL TAILINGS WASH TRANSFER  PUMP,4.5,DOL,PUMP,CRUSHER/MILLING
490,12-PP-502,KNELSON WATER FEED PUMP 1,75.0,DOL,PUMP,CRUSHER/MILLING
491,12-PP-504,KNELSON WATER FEED PUMP 2,75.0,DOL,PUMP,CRUSHER/MILLING
492,12-PP-512,GRAVITY AREA SUMP PUMP ,15.0,DOL,PUMP,CRUSHER/MILLING
493,12-EQ-022,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,CRUSHER/MILLING
494,12-EQ-028,EQUIPPED SPARE,75.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
495,12-PP-714,SAG MILL 1 GEARBOX OIL LP PUMP 2,11.0,DOL,PUMP,CRUSHER/MILLING
496,12-HX-717,SAG MILL 1 GEARBOX TANK HEATER ELEMENT 1,30.0,DOL,HEATER,CRUSHER/MILLING
497,12-HX-713,SAG MILL 1 GEARBOX TANK HEATER ELEMENT 2,30.0,DOL,HEATER,CRUSHER/MILLING
498,12-HX-719,SAG MILL 1 GEARBOX TANK HEATER ELEMENT 3,30.0,DOL,HEATER,CRUSHER/MILLING
499,12-FA-704,SAQG MILL 1 AIRBLAST COOLER MOTOR,4.0,DOL,FAN,CRUSHER/MILLING
500,12-PP-711,SAG MILL 1 FE BEARING LP OIL PUMP 1,1.1,DOL,PUMP,CRUSHER/MILLING
501,12-PP-712,SAG MILL 1 FE BEARING LP OIL PUMP 2,1.1,DOL,PUMP,CRUSHER/MILLING
502,12-HX-723,SAG MILL 1 TRINION TANK HEATER ELEMENT 1,3.0,DOL,HEATER,CRUSHER/MILLING
503,12-HX-724,SAG MILL 1 TRINION TANK HEATER ELEMENT 2,3.0,DOL,HEATER,CRUSHER/MILLING
504,12-PP-713,SAG MILL 1 GEARBOX OIL LP PUMP 1,11.0,DOL,PUMP,CRUSHER/MILLING
505,12-FA-706,SAG MILL 1 COOLING FAN 1,7.5,DOL,FAN,CRUSHER/MILLING
506,12-FA-702,SAG MILL 1 COOLING FAN 2,9.0,DOL,FAN,CRUSHER/MILLING
508,12-SA-002B,FLASH FLOATATION CONCENTRATE SUMP,0.4,DOL,OTHER,CRUSHER/MILLING
509,13-XM-7,HYDROLIC PACK REGRIND LUBE PUMP,7.5,DOL,OTHER,BIOX
510,16-PP-084,FRONTER DRUM PUMP FLASH FLOATATION,1.1,DOL,PUMP,REAGENTS
511,12-HT-014,PRIMARY CYCLONE DAINT CRANE,3.0,DOL,OTHER,CRUSHER/MILLING
512,16-PP-124,IILR COPPER SULPHATE DOZIING PUMP ,1.5,VSD,PUMP,REAGENTS
513,16-PP-088,COLLECTOR DOZING PUMP,1.1,VSD,PUMP,REAGENTS
514,12-SC-511,ILR TRADINGS WASH SCREEN,3.0,DOL,SCREEN,CRUSHER/MILLING
515,06-SC-301,ILR TRADINGS WASH SCREEN,3.0,DOL,SCREEN,BACKFILL
516,12-EQ-019,EQUIPPED SPARE,30.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
517,13-HE-001,REGRIND MILL MOTOR SPACE HEATER,0.3,DOL,OTHER,BIOX
518,17-CP-026,FLASH FLOATTATION AIR BLOWER 1,4.0,DOL,BLOWERS,TSF
519,12-EQ-017,EQUIPPED SPARE,15.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
520,12-EQ-018,EQUIPPED SPARE,15.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
522,12-EQ-20,EQUIPPED SPARE,55.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
523,12-PP-357,ILR TAILS TRANSFER PUMP,15.0,DOL,PUMP,CRUSHER/MILLING
524,12-PP-513,ILR RECIRCULATION PUMP,15.0,DOL,PUMP,CRUSHER/MILLING
525,16-PP-093,PROMOTER DOZING PUMP 2 FLASH FLOATATION,1.5,DOL,PUMP,REAGENTS
526,16-PP-096,FRONTHER DOZING PUMP 2 FLASH FLOATATION,1.5,DOL,PUMP,REAGENTS
527,17-CP-027,FLASH FLOATATION AIR BLOWER 2,4.0,DOL,BLOWERS,TSF
528,12-EQ-015,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,CRUSHER/MILLING
529,12-XM-050,SAG MILL 1 BALL LOADER,0.3,DOL,OTHER,CRUSHER/MILLING
530,11-FE-005,VIBRATING FEEDER N.5,5.0,VSD,FEEDER,CRUSHER/MILLING
531,11-FE-003,VIBRATING FEEDER N.3,5.0,VSD,FEEDER,CRUSHER/MILLING
532,12-FT-002,FLASH CELL 1,7.5,DOL,OTHER,CRUSHER/MILLING
533,12-GC-002,KNELSON CONCENTRATOR ,75.0,DOL,OTHER,CRUSHER/MILLING
534,12-ML-001A,SAG MILL INCHING DRIVE,45.0,DOL,MILL,CRUSHER/MILLING
535,16-HT-012,COLLECTOR MIXING HOIST,3.0,DOL,OTHER,REAGENTS
536,16-AG-053,COLLECTOR MIXING TANK AGITATOR,3.0,DOL,AGITATOR,REAGENTS
537,16-PP-89,COLLECTOR DOZING PUMP 2,1.5,VSD,PUMP,REAGENTS
538,12-SC-510,SCALPING SCREEN 1,9.0,DOL,SCREEN,CRUSHER/MILLING
539,12-PP-710,SQAG MILL 7 CONDUCTING LP PUMP 2,2.2,DOL,PUMP,CRUSHER/MILLING
540,12-HX-817,BALL MILL 1 TRINION TANK ELEMENT 1,3.0,DOL,HEATER,CRUSHER/MILLING
541,12-HX-813,BALL MILL 1 TRINION TANK ELEMENT 2,3.0,DOL,HEATER,CRUSHER/MILLING
542,12-PP-813,BALL MILL 1 GEARBOX 04 LP PUMP 1,11.0,DOL,PUMP,CRUSHER/MILLING
543,11-FE-004,VIBRATING FEEDER,11.0,VSD,FEEDER,CRUSHER/MILLING
544,12-EQ-025,EQUIPPED SPARE,15.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
545,13-XM-008,REGRIND MILL REDUCER LUBE SYSTEM FAN,7.5,DOL,OTHER,BIOX
546,13-FT-003,FLASH CELL 3,75.0,DOL,OTHER,BIOX
547,12-EQ-24,EQUIPPED SPARE,15.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
548,12-FT-001,FLASH CELL 1,75.0,DOL,OTHER,CRUSHER/MILLING
549,12-ML-002A,BALL MILLO 1 INCHING DRIVE,45.0,DOL,MILL,CRUSHER/MILLING
551,13-GC-003,KNELSON CONCENTRATOR # 3,75.0,DOL,OTHER,BIOX
552,12-GC-001,KNELSON CONCENTRATOR # 1,75.0,DOL,OTHER,CRUSHER/MILLING
553,12-EQ-023,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,CRUSHER/MILLING
554,12-EQ-026,EQUIPPED SPARE,30.0,DOL,EQUIPED SPARE,CRUSHER/MILLING
555,12-HE-002,REGRIND MILL REDUCER LUBE HEATER,23.0,DOL,OTHER,CRUSHER/MILLING
556,12-SA-002,FLASH FLOATATION CONCENTRATE SAMPLER,0.4,DOL,OTHER,CRUSHER/MILLING
557,12-PP-812,BALL MILL 1 FE BEARING LP OIL PUMP,1.1,DOL,PUMP,CRUSHER/MILLING
558,16-PP-116,COLLECTER MIXING TRANSFER PUMP,1.1,DOL,PUMP,REAGENTS
559,14-EQ-007,EQUIPPED SPARE,18.5,DOL,EQUIPED SPARE,BACKFILL
561,14-EQ-004,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,BACKFILL
562,14-EQ-003,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,BACKFILL
563,14-EQ-002,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,BACKFILL
564,14-EQ-001,EQUIPPED SPARE,5.5,DOL,EQUIPED SPARE,BACKFILL
565,16-PP-81A,COUSTIC DOSING PUMP 1 ,3.0,VSD,PUMP,REAGENTS
566,16-PP-81B,COUSTIC DOSING PUMP 2 ,3.0,VSD,PUMP,REAGENTS
567,15-PP-010,CARBON TRANSFER PUMP 1,22.0,DOL,PUMP,ELUTION/GOLDROOM
568,15-PP-XXX,REGENERATION AREA SUMP PUMP,7.5,DOL,PUMP,ELUTION/GOLDROOM
569,20-PP-008,REFINERY AREA SUMP PUMP,7.5,DOL,PUMP,ELUTION/GOLDROOM
570,20-PP-004,ILR PREGNANT SOL PUMP NO. 2,5.5,VSD,PUMP,ELUTION/GOLDROOM
571,20-PP-003,ILR PREGNANT SOL PUMP NO. 1,5.5,VSD,PUMP,ELUTION/GOLDROOM
572,20-PP-002,PREGNANT ELUATE PUMP NO. 2,11.0,VSD,PUMP,ELUTION/GOLDROOM
573,20-PP-001,PREGNANT ELUATE PUMP NO. 1,11.0,VSD,PUMP,ELUTION/GOLDROOM
574,20-FAN-001,ELECTROWINNING CELLS AND DRYING OVERFAN,3.0,DOL,FAN,ELUTION/GOLDROOM
575,20-FL-001,GOLDROOM FILTER PRES,0.37,DOL,OTHER,ELUTION/GOLDROOM
576,15-SC-002,CARBON RECOVERY SCREEN 1,0.37,DOL,SCREEN,ELUTION/GOLDROOM
577,15-SC-003,CARBON RECOVERY SCREEN 2,0.37,DOL,SCREEN,ELUTION/GOLDROOM
578,23-AG-046,NEUT. TANK 46 AGITATOR,22.0,DOL,AGITATOR,BIOX
579,23-AG-045,NEUT. TANK 45 AGITATOR,22.0,DOL,AGITATOR,BIOX
580,23-AG-044,NEUT. TANK 44 AGITATOR,22.0,DOL,AGITATOR,BIOX
581,23-AG-043,NEUT. TANK 43 AGITATOR,22.0,DOL,AGITATOR,BIOX
582,23-AG-042,NEUT. TANK 42 AGITATOR,22.0,DOL,AGITATOR,BIOX
583,23-AG-041,NEUT. TANK 41 AGITATOR,22.0,DOL,AGITATOR,BIOX
584,16-AG-040,CAUSTIC MIXNG AGITATOR,18.5,DOL,AGITATOR,REAGENTS
585,15-PP-266A,HOT OIL PUMP 1,1.1,DOL,PUMP,ELUTION/GOLDROOM
586,15-PP-266B,HOT OIL PUMP 2,1.1,DOL,PUMP,ELUTION/GOLDROOM
587,14-PP-020A,NEUTRALIZATION TAILS PUMP,160.0,VSD,PUMP,BACKFILL
588,20-HT-002,REFINERY HOIST,30.0,DOL,OTHER,ELUTION/GOLDROOM
589,14-EQ-12,EQUIPPED SPARE,55.0,DOL,EQUIPED SPARE,BACKFILL
590,20-FA-03,REFINERY VENT FAN,7.5,DOL,FAN,ELUTION/GOLDROOM
591,20-PP-011,BARREN SOIL INTER TRANSFER PUMP,1.1,DOL,PUMP,ELUTION/GOLDROOM
592,20-PP-007,TANK FARM SPILLAGE TANK,11.0,DOL,PUMP,ELUTION/GOLDROOM
593,14-PP-02D,NEUTRALIZATION TAILS PUMP 2,160.0,VSD,PUMP,BACKFILL
594,15-FE-002,KILN SCREEW FEEDER NO.2,5.5,DOL,FEEDER,ELUTION/GOLDROOM
595,15-FE-001,KILN SCREEW FEEDER NO.1,5.5,DOL,FEEDER,ELUTION/GOLDROOM
596,15-FA-XXX,KILN 2 SCRUBBER FAN,7.5,DOL,FAN,ELUTION/GOLDROOM
597,15-FA-12,KILN 1 SCRUBBER FAN,7.5,DOL,FAN,ELUTION/GOLDROOM
598,16-AG-063,CAUSTIC MIXNG TANK AGITATOR,18.5,DOL,AGITATOR,REAGENTS
599,15-SC-004,BARREN CARBON DEW SCREEN 2,5.5,DOL,SCREEN,ELUTION/GOLDROOM
600,15-XM-002,KILN EXHAUST STACK ,1.0,DOL,OTHER,ELUTION/GOLDROOM
601,15-SC-001,BARREN CARBON DEW SCREEN,5.5,DOL,SCREEN,ELUTION/GOLDROOM
602,13-PP-021,FLOAT THICKNER TAILS PUMP 2,220.0,VSD,PUMP,BIOX
603,20-PP-012,BARREN SOIL INTER TRANSFER PUMP 2,15.0,VSD,PUMP,ELUTION/GOLDROOM
604,13-PP-022,FLOAT THICKNER TAILS PUMP 2,220.0,VSD,PUMP,BIOX
