,NUMBER,NAME,RATING,STARTER,FUNCTION,AREA
71,23-PP-029,PRODUCT TRANSFER PUMP 2,55.0,VSD,PUMP,BIOX
72,23-PP-227,TRAIN 4 FEED PUMP,30.0,VSD,PUMP,BIOX
73,23-PP-268,CCD # 4 UNDERFLOW PUMP,15.0,VSD,PUMP,BIOX
74,23-PP-269,CCP # 3 UNDERFLOW PUMP,15.0,VSD,PUMP,BIOX
75,23-PP-057,CCP # 5 UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
76,23-PP-054,CCP # 3 UNDERFLOW PUMP,15.0,VSD,PUMP,BIOX
77,23-PP-054,CCP # 4 UNDERFLOW PUMP,15.0,VSD,PUMP,BIOX
78,23-PP-050,CCP # 6 UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
79,23-PP-027,CCD # 5 UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
80,23-PP-266,CCD # 6 UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
81,23-PP-056,CCD # 5 OVERFLOW PUMP ,30.0,VSD,PUMP,BIOX
82,23-PP-055,CCD # 6 OVERFLOW PUMP,37.0,VSD,PUMP,BIOX
83,23-PP-057,CCD # 4 OVERFLOW PUMP,30.0,VSD,PUMP,BIOX
84,23-PP-150,CCD FLOCCULANT DOZING PMP,3.0,VSD,PUMP,BIOX
85,23-PP-148,FLOCULANT TRANSFER PUMP,1.5,VSD,PUMP,BIOX
86,23-PP-149,FLOCULANT TRANSFER PUMP,1.5,VSD,PUMP,BIOX
87,23-PP-167,TRAIN 1 FEED PUMP,22.0,VSD,PUMP,BIOX
88,23-PP-169,TRAIN 2 FEED PUMP 1,22.0,VSD,PUMP,BIOX
89,23-PP-170,TARIN 2 FEED PUMP 2,22.0,VSD,PUMP,BIOX
90,23-PP-171,TRAIN 3 FEED PUMP 1,22.0,VSD,PUMP,BIOX
91,23-PP-172,TRAIN 3 FEED PUMP 2,22.0,VSD,PUMP,BIOX
92,23-PP-228,TRAIN 2 NUTRIENT DOZING PUMP,1.5,VSD,PUMP,BIOX
93,23-PP-229,TRAIN 3 NUTRIENT DOZING PUMP,1.5,VSD,PUMP,BIOX
94,23-PP-151,CCD FLOCULANT DOZING PUMP,3.0,VSD,PUMP,BIOX
95,23-PP-149,CCD FLOCULANT DOZING PUMP 5,3.0,VSD,PUMP,BIOX
96,23-PP-286,FLOCULANT TRANSFER PUMP,1.5,VSD,PUMP,BIOX
97,23-PP-191,CCD FLOCULANT DOZING PUMP 3,3.0,VSD,PUMP,BIOX
98,23-PP-039,SUMP PUMP,15.0,DOL,PUMP,BIOX
99,23-PP-056,CCD # 5 OVERFLOW PUMP ,30.0,VSD,PUMP,BIOX
100,23-PP-171,TRAIN 3 FEED PUMP,22.0,VSD,PUMP,BIOX
101,23-PP-172,TRAIN 3 FEED PUMP,22.0,VSD,PUMP,BIOX
102,23-PP-051,CCD # 5 UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
103,23-PP-267,CCD # 5 UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
104,23-AG-031,REACTOR TANK 31 AGITATOR,225.0,DOL,AGITATOR,BIOX
105,23-AG-032,REACTOR TANK 32 AGITATOR,225.0,DOL,AGITATOR,BIOX
106,23-AG-033,REACTOR TANK 33 AGITATOR,225.0,DOL,AGITATOR,BIOX
107,23-EQ-026,EQUIPPED SPARE,75.0,DOL,EQUIPED SPARE,BIOX
109,23-PP-262,COOLING WATER SUPPLY PUMP,315.0,DOL,PUMP,BIOX
110,23-PP-206,COOLING WATER SUPPLY PUMP,315.0,DOL,PUMP,BIOX
111,23-PP-035,REACTOR TANK 55 AGITATOR,225.0,DOL,PUMP,BIOX
112,23-AG-034,REACTOR TANK AGITATOR,225.0,DOL,AGITATOR,BIOX
113,23-AG-036,REACTOR TANK AGITATOR,132.0,DOL,AGITATOR,BIOX
114,23-EQ-024,EQUIPPED SPARE,45.0,DOL,EQUIPED SPARE,BIOX
118,23-SA-003,TANK 131 FEED SAMPLER,0.6,DOL,OTHER,BIOX
119,23-AG-143,REACTOR TANK 143 AGITATOR,225.0,DOL,AGITATOR,BIOX
120,23-PP-055,CCD # 6 OVERFLOW PUMP,37.0,VSD,PUMP,BIOX
121,23-PP-266,CCD UNDERFLOW PUMP,37.0,VSD,PUMP,BIOX
122,23-PP-275,TRAIN 4 AREA SUMP PUMP,15.0,DOL,PUMP,BIOX
123,23-PP-280,TRAIN 4 AREA SUMP PUMP 1,15.0,DOL,PUMP,BIOX
124,23-PP-286,TRAIN 4 NUTRIENTS DOZING PUMP,1.5,VSD,PUMP,BIOX
125,23-PP-309,CONS. SURGE TANK TRANS. PUMP 1,30.0,DOL,PUMP,BIOX
126,23-AG-145,REACTOR TANG 145 AGITATOR,132.0,DOL,AGITATOR,BIOX
127,23-SC-053,TRASH SCREEN,1.8,DOL,SCREEN,BIOX
128,23-PP-281,REACTOR AREA SUMP PUMP TR 2,15.0,DOL,PUMP,BIOX
129,23-PP-162,REACTOR AREA SUMP PUMP TR 2,15.0,DOL,PUMP,BIOX
130,23-AG-146,REACTOR TANK 146 AGITATOR,132.0,DOL,AGITATOR,BIOX
131,23-AG-131,SURGE TANK 131 AGITATOR,45.0,DOL,AGITATOR,BIOX
132,23-AG-147,REACTOR TANK 147 AGITATOR,132.0,DOL,AGITATOR,BIOX
133,23-PP-229,TRAIN 3 NUTRIENT DOZING PUMP,15.0,VSD,PUMP,BIOX
134,23-EQ-022,SULPHIDE ACID PUMP,22.0,DOL,EQUIPED SPARE,BIOX
138,23-PP-061,CCD OVERFLOW PUMP,75.0,VSD,PUMP,BIOX
139,23-PP-040,TRAIN 3 REACTOR AREA SUMP PUMP,15.0,DOL,PUMP,BIOX
